Units,scen_policy,input,year,order,diff,region
EJ,CP,Low-carbon,2030,2,0.12822179703293912,EU_NW
EJ,CP,Other fossil,2030,2,0.09148200000000095,EU_NW
EJ,CP,Low-carbon,2030,2,0.005637865187932967,EU_SE
EJ,CP,Other fossil,2030,2,0.009165199999999762,EU_SE
EJ,CP,Low-carbon,2030,2,0.07228344145218113,EU_SW
EJ,CP,Other fossil,2030,2,0.04198669999999982,EU_SW
EJ,CP,Low-carbon,2030,2,-0.06158102276932009,UK+
EJ,CP,Other fossil,2030,2,0.04523100000000024,UK+
EJ,NDC,Low-carbon,2030,2,0.003863978140826063,EU_Cent
EJ,NDC,Other fossil,2030,2,0.03452730000000015,EU_Cent
EJ,NDC,Low-carbon,2030,2,-0.042574178446529665,EU_NE
EJ,NDC,Other fossil,2030,2,0.031128319999999987,EU_NE
EJ,NDC,Low-carbon,2030,2,0.12155059100541621,EU_NW
EJ,NDC,Other fossil,2030,2,0.10018499999999975,EU_NW
EJ,NDC,Low-carbon,2030,2,0.0029610532361155073,EU_SE
EJ,NDC,Other fossil,2030,2,0.006752699999999834,EU_SE
EJ,NDC,Low-carbon,2030,2,0.05683672327544276,EU_SW
EJ,NDC,Other fossil,2030,2,0.03957820000000112,EU_SW
EJ,NDC,Low-carbon,2030,2,-0.032108966603106026,UK+
EJ,NDC,Other fossil,2030,2,0.055911000000000044,UK+
EJ,CP,order_2_sum,2030,3,0.5552192175042842,EU_Cent
EJ,CP,order_2_sum,2030,3,0.08770282043993466,EU_NE
EJ,CP,order_2_sum,2030,3,1.0719985970329402,EU_NW
EJ,CP,order_2_sum,2030,3,0.18466300218793275,EU_SE
EJ,CP,order_2_sum,2030,3,0.5670061414521809,EU_SW
EJ,CP,order_2_sum,2030,3,-0.046807922769319846,UK+
EJ,NDC,order_2_sum,2030,3,0.5322448881408262,EU_Cent
EJ,NDC,order_2_sum,2030,3,0.09019344105347034,EU_NE
EJ,NDC,order_2_sum,2030,3,1.085702591005416,EU_NW
EJ,NDC,order_2_sum,2030,3,0.18098262223611536,EU_SE
EJ,NDC,order_2_sum,2030,3,0.556411323275444,EU_SW
EJ,NDC,order_2_sum,2030,3,-0.037473866603106115,UK+
EJ,CP,PE decrease,2030,3,0.01965608229984639,EU_Cent
EJ,CP,PE decrease,2030,3,0.025267829560065458,EU_NE
EJ,CP,PE decrease,2030,3,-0.018136597818298128,EU_NW
EJ,CP,PE decrease,2030,3,0.010501397679137714,EU_SE
EJ,CP,PE decrease,2030,3,0.022846858206619913,EU_SW
EJ,CP,PE decrease,2030,3,0.04680792276931989,UK+
EJ,NDC,PE decrease,2030,3,0.012835711859173315,EU_Cent
EJ,NDC,PE decrease,2030,3,0.017186598946529408,EU_NE
EJ,NDC,PE decrease,2030,3,-0.0311125910054173,EU_NW
EJ,NDC,PE decrease,2030,3,0.01007147776388484,EU_SE
EJ,NDC,PE decrease,2030,3,0.02640767672455624,EU_SW
EJ,NDC,PE decrease,2030,3,0.03747386660310603,UK+
