region,latitude,longitude
EU_SW,40.900995,7.005498
EU_NW,50.580551,8.341087
EU_NE,65.1006,24.195031
EU_Cent,50.807058,18.539424
EU_SE,45.677788,25.272064
UK+,55.8315,-2.027429
