region,latitude,longitude
EU_SW,40.500995,-4.25
EU_NW,47.280551,2.041087
EU_NE,61.1006,16.195031
EU_Cent,47.207058,16.939424
EU_SE,40.177788,24.272064
UK+,51.8315,-4.227429
